date,Reactive_Power,Apparent_Power,Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Radiation_Global_Tilted,Radiation_Diffuse_Tilted,Active_Power
2023/12/7 16:25,0.0,0.0,37.99785614,18.59163094,303.377594,188.076416,54.62726593,0.0,371.2591248,164.3565063,147.9651642
2023/12/7 16:30,0.0,0.0,37.24399567,19.19005585,548.8665771,167.9855499,54.39737701,0.0,473.6402893,152.3159943,129.4108276
2023/12/7 16:35,0.0,0.0,37.50064087,18.88637733,576.0966187,166.5529175,53.86650467,0.0,496.6106873,147.3008575,130.7326965
2023/12/7 16:40,0.0,0.0,37.62358856,18.56632614,553.1602783,160.9234924,53.37265396,0.0,492.8045654,146.3556976,141.9895935
2023/12/7 16:45,0.0,0.0,37.93110657,18.89633751,523.9977417,157.7561035,53.03339767,0.0,475.6618652,150.0678711,131.3889465
2023/12/7 16:50,0.0,0.0,36.30631256,24.53556633,526.1966553,190.6706543,53.12265778,0.0,471.0675354,164.8194885,126.8241119
2023/12/7 16:55,0.0,0.0,34.85466766,27.96744347,541.0097656,212.2375183,52.74147797,0.0,476.480011,178.8917847,164.1282959
2023/12/7 17:00,0.0,0.0,34.43847656,29.24208832,322.0653076,187.8101654,52.64009476,0.0,350.6944275,178.4421692,134.3537445
2023/12/7 17:05,0.0,0.0,34.37612534,29.93370628,491.7493591,186.5021515,52.10569,0.0,414.4605713,184.6283569,65.37363434
2023/12/7 17:10,0.0,0.0,34.61141205,28.6036377,476.7972107,185.8903198,51.52867126,0.0,424.2984924,188.2819672,62.16225815
2023/12/7 17:15,0.0,0.0,34.53661346,28.49697304,450.8231506,182.2295532,51.71045303,0.0,413.9684143,187.3605957,57.52088547
2023/12/7 17:20,0.0,0.0,34.22582626,28.81790924,440.0455017,183.2255402,51.78852463,0.0,395.5032959,181.4129791,77.33576202
2023/12/7 17:25,0.0,0.0,34.25059128,28.84868622,288.5705261,179.0839691,51.73660278,0.0,310.6269226,173.0042419,82.89749146
2023/12/7 17:30,0.0,0.0,34.07533264,28.90964699,173.6718597,165.0094757,51.60197449,0.0,219.3715057,160.3924408,85.00056458
2023/12/7 17:35,0.0,0.0,33.94989014,29.14663696,151.6718445,146.8405304,51.54602814,0.0,172.0739899,142.6319733,83.02204132
2023/12/7 17:40,0.0,0.0,33.082901,31.6768322,158.4724426,151.7377319,51.60324097,0.0,157.5688934,139.4689789,84.45189667
2023/12/7 17:45,0.0,0.0,32.25521088,34.9220047,132.3411255,120.8472595,51.18877792,0.0,135.5394897,120.9800034,80.83627319
2023/12/7 17:50,0.0,0.0,32.02436066,36.3046875,107.0449677,94.69720459,50.87772369,0.0,110.9474716,99.23687744,79.00692749
2023/12/7 17:55,0.0,0.0,32.31958771,32.74898148,103.1177521,91.59472656,50.37166977,0.0,98.76705933,87.50502777,76.31230164
2023/12/7 18:00,0.0,0.0,32.78327179,31.54281616,96.49060059,89.42370605,50.07143021,0.0,93.659935,84.0821991,70.20009613
2023/12/7 18:05,0.0,0.0,32.67782593,32.19113541,106.1326141,94.84176636,49.91633224,0.0,99.85949707,90.09339142,66.29172516
2023/12/7 18:10,0.0,0.0,32.77699661,30.8956337,97.29210663,90.99025726,49.87775421,0.0,98.52687836,87.0895462,52.65851593
2023/12/7 18:15,0.0,0.0,33.0847702,29.93436241,80.43405914,76.00209808,49.73588562,0.0,87.32940674,77.62485504,38.23864365
2023/12/7 18:20,0.0,0.0,33.26344299,28.92668915,69.8975296,68.08957672,49.5343399,0.0,78.65444946,71.07287598,41.32016754
2023/12/7 18:25,0.0,0.0,33.38873672,28.28973579,53.14006424,51.50380707,49.38248444,0.0,65.17282867,58.97909927,44.45797348
2023/12/7 18:30,0.0,0.0,33.37944031,28.83529091,37.75840759,35.27215958,49.47789764,0.0,51.49885941,45.85840225,46.10700607
2023/12/7 18:35,0.0,0.0,33.32549286,28.77738953,27.78945732,26.26573563,49.71578598,0.0,38.97044754,33.57746887,53.49100113
2023/12/7 18:40,0.0,0.0,33.29295731,28.76681137,19.66069412,18.15410995,49.61435318,0.0,28.99752808,24.34252167,55.93374252
2023/12/7 18:45,0.0,0.0,33.20065689,28.72065735,16.1251564,14.96122265,49.24216461,0.0,22.36693192,18.40691948,57.40758514
2023/12/7 18:50,0.0,0.0,33.04964828,28.18071175,13.68801308,13.16582489,49.23498917,0.0,17.82506371,14.15952301,57.18056488
2023/12/7 18:55,0.0,0.0,32.95998383,28.22200775,11.00880909,10.65767002,49.15362549,0.0,14.63475323,11.18385506,57.16667938
2023/12/7 19:00,0.0,0.0,32.74806595,29.17814636,9.490884781,9.233882904,49.0877533,0.0,12.40184784,9.20128727,60.43013763
2023/12/7 19:05,0.0,0.0,32.53284073,29.69860649,7.826858521,7.549057007,48.93727112,0.0,10.57342148,7.414595127,60.07404327
2023/12/7 19:10,0.0,0.0,32.36875916,29.98505783,5.010766983,4.863186359,49.21762848,0.0,8.354979515,5.159385681,58.9533577
2023/12/7 19:15,0.0,0.0,32.2089386,30.47937012,2.52886343,2.403124094,49.1635437,0.0,6.083093166,3.129442692,57.91828918
2023/12/7 19:20,0.0,0.0,31.6297245,34.78374863,2.630331278,2.533547163,48.899189,0.0,5.554348946,2.706068277,58.55733871
2023/12/7 19:25,0.0,0.0,31.35168839,35.49060059,2.711032629,2.667376995,48.66717148,0.0,4.906207561,2.072578192,59.471138
2023/12/7 19:30,0.0,0.0,31.42008781,34.8522377,1.876714945,1.74050498,48.8490448,0.0,4.483362198,1.70844233,59.46281815
2023/12/7 19:35,0.0,0.0,31.35523224,34.81930542,1.829899907,1.737403274,48.58021545,0.0,4.199118137,1.35634625,59.70132828
2023/12/7 19:40,0.0,0.0,31.40023613,33.40357208,1.415748358,1.323424697,48.40828323,0.0,3.915079355,1.133566499,59.53917313
2023/12/7 19:45,0.0,0.0,31.7192688,30.79366112,0.650614977,0.678336322,48.47838593,0.0,3.26664567,0.657056093,58.31524658
2023/12/7 19:50,0.0,0.0,32.04461288,29.53121567,0.733068526,0.66543448,48.62020874,0.0,3.106093884,0.593031704,58.54138184
2023/12/7 19:55,0.0,0.0,31.94116783,29.83068657,0.940037131,0.797553182,48.29527664,0.0,3.11032486,0.573629498,57.71004486
2023/12/7 20:00,0.0,0.0,31.64171219,30.74411201,1.449727535,1.359676361,48.62135696,0.0,3.248851299,0.71124047,57.80548859
2023/12/7 20:05,0.0,0.0,31.4931736,30.77393532,1.14095211,0.973471761,48.52747345,0.0,3.420190573,0.765274107,58.41926956
2023/12/7 20:10,0.0,0.0,31.33330727,31.94889069,1.549000978,1.399541855,48.68124771,0.0,3.394006252,0.80786401,58.7494545
2023/12/7 20:15,0.0,0.0,31.07268524,32.61777878,1.544617176,1.418612838,48.67140579,0.0,3.713267088,1.037984729,57.96447372
2023/12/7 20:20,0.0,0.0,30.8761692,33.39945984,1.743396997,1.59579289,48.6123848,0.0,3.525072813,0.789927244,58.75853348
2023/12/7 20:25,0.0,0.0,30.88978958,33.22225952,1.192545772,1.027249217,48.58852768,0.0,3.69279027,0.692660749,59.38349533
2023/12/7 20:30,0.0,0.0,30.71494865,33.20898819,1.717308998,1.6032722,48.50495911,0.0,3.672423363,0.803367555,57.55023956
2023/12/7 20:35,0.0,0.0,30.56570435,33.34070587,1.941981316,1.789154053,48.37292862,0.0,3.559963465,0.787006676,58.70262909
2023/12/7 20:40,0.0,0.0,30.5529213,33.3838768,1.244758248,1.071734548,48.26445007,0.0,3.424441099,0.647322178,58.49184418
2023/12/7 20:45,0.0,0.0,30.67827225,32.83239746,1.17269671,1.054280043,48.35512924,0.0,3.487356186,0.726872623,55.93586731
2023/12/7 20:50,0.0,0.0,30.74187469,33.27062225,1.553151846,1.402411938,48.33685303,0.0,3.431176186,0.686055064,58.61810684
2023/12/7 20:55,0.0,0.0,30.59258652,33.42756271,1.336835384,1.132975101,48.27643967,0.0,3.345728397,0.6941517,54.54497528
2023/12/7 21:00,0.0,0.0,30.69134903,33.20839691,0.90858233,0.688868642,48.31824112,0.0,3.362220764,0.791960478,56.740242
2023/12/7 21:05,0.0,0.0,30.83890915,32.81601334,0.752082109,0.655959964,48.16396332,0.0,2.989717722,0.587489784,56.04673767
2023/12/7 21:10,0.0,0.0,31.00358963,32.40662766,0.839045763,0.706500471,48.04228973,0.0,2.920134783,0.432767928,56.96234512
2023/12/7 21:15,0.0,0.0,30.84841919,33.16995621,1.298438907,1.132332683,48.05636215,0.0,3.083254814,0.508245349,56.10462952
2023/12/7 21:20,0.0,0.0,30.62594414,33.5175705,1.32347846,1.17933917,48.06134796,0.0,2.830093384,0.381416976,54.63389206
2023/12/7 21:25,0.0,0.0,30.69177055,33.33841705,0.822677791,0.686037183,47.94478226,0.0,2.825915098,0.382495254,57.96950531
2023/12/7 21:30,0.0,0.0,30.69866562,33.2399292,1.150203109,0.875238478,47.89060211,0.0,3.169118643,0.594977736,60.46587753
2023/12/7 21:35,0.0,0.0,30.71810913,32.97031403,1.023066759,0.85077244,47.95225525,0.0,3.549767494,1.047211051,61.57241058
2023/12/7 21:40,0.0,0.0,30.84518814,32.67191315,0.710703075,0.626632035,47.88317108,0.0,3.413273096,0.749596238,56.99001312
2023/12/7 21:45,0.0,0.0,30.74389076,32.87182236,1.010558844,0.884337187,47.79823303,0.0,3.468755722,0.75539887,54.16770172
2023/12/7 21:50,0.0,0.0,30.49370766,33.6388092,1.553623438,1.457017899,47.75420761,0.0,3.37713623,0.700526178,59.05013657
2023/12/7 21:55,0.0,0.0,30.09524918,35.42167664,2.113434792,1.970943928,48.79195786,0.0,3.701343775,0.907266319,57.0737114
2023/12/7 22:00,0.0,0.0,29.4905529,37.10174179,2.530320883,2.343557119,48.71689606,0.0,4.234475613,1.352245092,53.40140533
2023/12/7 22:05,0.0,0.0,29.2970562,37.34405899,1.732790709,1.542734504,48.21306992,0.0,3.987591267,1.17940402,55.94602966
2023/12/7 22:10,0.0,0.0,29.21546173,37.45956802,1.781434655,1.602880478,48.15466309,0.0,3.874409437,1.295287848,59.11269379
2023/12/7 22:15,0.0,0.0,29.20604515,37.7912674,1.540616512,1.272111893,48.02630615,0.0,3.891781569,1.046044707,56.75962067
2023/12/7 22:20,0.0,0.0,29.07415962,39.20124817,1.728715539,1.5439713,48.0997467,0.0,3.877932549,0.940212011,61.08091736
2023/12/7 22:25,0.0,0.0,28.67154503,39.56231689,1.994563103,1.757936001,47.96844864,0.0,3.743712664,0.848790646,63.56184387
2023/12/7 22:30,0.0,0.0,28.38574028,40.96572113,1.837141871,1.664048433,48.16069412,0.0,3.59403944,0.789994776,63.50020981
2023/12/7 22:35,0.0,0.0,28.26801682,42.75679779,1.612859964,1.46994257,48.19050598,0.0,3.444927454,0.738093615,60.79482269
2023/12/7 22:40,0.0,0.0,28.49983597,41.21438217,0.641643822,0.594513416,48.3371048,0.0,3.086774111,0.497713059,67.36099243
2023/12/7 22:45,0.0,0.0,29.38225365,36.82348251,0.351705998,0.596500039,48.18134308,0.0,2.378913641,0.318308711,66.23480225
2023/12/7 22:50,0.0,0.0,29.8108902,35.55987549,0.356426775,0.6042822,48.24001694,0.0,2.127003431,0.251311481,61.40740204
2023/12/7 22:55,0.0,0.0,29.80891037,35.81994629,0.643028915,0.612705708,48.22343063,0.0,2.459142685,0.301043451,65.15982056
2023/12/7 23:00,0.0,0.0,29.58192253,36.95013428,1.406336188,1.206535816,48.19817352,0.0,3.00428772,0.468318701,63.95399094
2023/12/7 23:05,0.0,0.0,29.35148239,37.54444122,1.785048723,1.636613488,48.41079712,0.0,3.292641401,0.683578312,59.30915833
2023/12/7 23:10,0.0,0.0,29.11203194,38.57559967,1.720732212,1.517902851,48.40690613,0.0,3.515390635,0.829348862,64.64537048
2023/12/7 23:15,0.0,0.0,28.6270752,39.96403122,2.062916279,1.87143755,48.01512909,0.0,3.993463993,1.154342294,66.88043976
2023/12/7 23:20,0.0,0.0,28.28567505,41.31765747,2.161235094,1.843501806,48.29095459,0.0,4.143529892,1.243870258,59.27260971
2023/12/7 23:25,0.0,0.0,28.25890732,40.68602371,1.606559634,1.404167175,47.94482422,0.0,3.778819561,0.855898499,63.33317566
2023/12/7 23:30,0.0,0.0,28.46007156,40.60662842,1.246143103,1.001214027,48.28396606,0.0,3.640618086,0.722751379,64.65203857
2023/12/7 23:35,0.0,0.0,28.56506348,40.21326447,0.676491618,0.591754556,47.87779999,0.0,3.051591635,0.471814543,59.16513824
2023/12/7 23:40,0.0,0.0,28.42412376,40.94887161,1.284704447,1.029920101,47.83513641,0.0,3.276631117,0.638588428,65.6442337
2023/12/7 23:45,0.0,0.0,28.12750244,42.39523315,1.760015726,1.566455841,48.08792877,0.0,3.380110979,0.676479578,63.77122879
2023/12/7 23:50,0.0,0.0,27.92027664,43.21077728,1.730876684,1.497856379,48.3817482,0.0,3.520649433,0.736254632,64.17276764
2023/12/7 23:55,0.0,0.0,27.88765335,43.16995239,1.21274519,0.992128313,47.86375809,0.0,3.468484879,0.686280727,68.14772034
2023/12/8 0:00,0.0,0.0,27.71733665,44.00942612,1.535003066,1.447591066,47.95742416,0.0,3.427404881,0.602986395,60.73997879
2023/12/8 0:05,0.0,0.0,27.71864891,43.2441597,1.179356694,0.84586978,48.05163574,0.0,3.701058865,0.60381794,59.76163483
2023/12/8 0:10,0.0,0.0,27.82976341,42.72779083,1.500010967,1.267104745,47.90624619,0.0,3.592862368,0.69426626,65.789711
2023/12/8 0:15,0.0,0.0,27.93874168,42.34839249,1.327188253,1.087925315,48.19248962,0.0,3.507599592,0.734211445,61.33556747
2023/12/8 0:20,0.0,0.0,27.69903374,43.61198425,1.791651487,1.539696455,47.89293671,0.0,3.635793686,0.792532682,61.0201416
2023/12/8 0:25,0.0,0.0,27.38041496,44.70424652,2.161899805,1.809936285,47.78185272,0.0,3.9070158,0.992932618,64.64842987
2023/12/8 0:30,0.0,0.0,27.32370377,44.56903839,1.448037028,1.253695726,47.99188614,0.0,3.857914925,1.018018723,60.20806122
2023/12/8 0:35,0.0,0.0,27.27998734,45.13141251,1.440842628,1.345913529,47.95367432,0.0,3.960987806,1.070027113,56.6402092
2023/12/8 0:40,0.0,0.0,27.18182373,44.40459824,1.589171767,1.35336709,48.04355621,0.0,4.11307478,1.076483369,58.63191986
2023/12/8 0:45,0.0,0.0,27.0596199,45.9922142,1.903781295,1.713142633,48.02695465,0.0,4.385128021,1.467680454,53.17299652
2023/12/8 0:50,0.0,0.0,26.80125237,46.86375809,2.139765739,1.847948074,47.78266525,0.0,4.040503025,1.124398947,59.98175049
2023/12/8 0:55,0.0,0.0,26.61386299,47.81233978,1.937807322,1.673990607,47.84701157,0.0,3.563738108,0.716575027,56.71518326
2023/12/8 1:00,0.0,0.0,26.13703346,48.75000763,2.073956013,1.819612622,47.64659882,0.0,3.63326931,0.791231871,59.17895889
2023/12/8 1:05,0.0,0.0,26.19159126,49.00812912,1.449385166,1.167074203,47.52210617,0.0,3.273694515,0.538371027,60.40634155
2023/12/8 1:10,0.0,0.0,26.04818344,50.08825684,1.744879127,1.516288877,47.33239746,0.0,3.019949675,0.40756017,55.45571518
2023/12/8 1:15,0.0,0.0,25.94222069,50.32136536,1.80931592,1.542840004,47.19826889,0.0,3.489323139,0.614311934,60.02996063
2023/12/8 1:20,0.0,0.0,25.76801491,50.16959763,2.125385284,1.824935436,47.70369339,0.0,3.892151594,1.237969398,60.38375473
2023/12/8 1:25,0.0,0.0,25.6594944,50.5410347,2.098397255,1.837595224,47.74529266,0.0,4.068933964,1.19608283,56.5290184
2023/12/8 1:30,0.0,0.0,25.586586,50.5623703,1.459875822,1.148774624,47.40658951,0.0,3.674196959,0.883235693,60.26848221
2023/12/8 1:35,0.0,0.0,25.7244339,49.75405121,1.007759094,0.728222072,47.24193192,0.0,3.155960083,0.555556476,55.20285034
2023/12/8 1:40,0.0,0.0,25.82037354,48.89113617,0.964013278,0.659229994,47.22402191,0.0,2.654559612,0.353494644,59.04328156
2023/12/8 1:45,0.0,0.0,25.99155426,49.87886429,0.699409306,0.539888144,47.20713806,0.0,3.231590509,0.565076828,59.35864639
2023/12/8 1:50,0.0,0.0,25.79754639,50.2130394,1.466428995,1.209908247,47.23062897,0.0,3.73053813,1.008809805,55.14574814
2023/12/8 1:55,0.0,0.0,25.71405602,50.96392822,1.55656445,1.272169232,47.19345856,0.0,3.822007179,0.956648767,61.0892067
2023/12/8 2:00,0.0,0.0,25.54567909,51.62033081,1.52453208,1.264119744,47.06529236,0.0,3.603756666,0.71776545,55.87685013
